source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences,query_name
GO:MF,GO:0003950,NAD+ poly-ADP-ribosyltransferase activity,2.516138375971104e-32,True,"""Catalysis of the reaction: NAD+ + (ADP-D-ribosyl)(n)-acceptor = nicotinamide + (ADP-D-ribosyl)(n+1)-acceptor."" [EC:2.4.2.30]",24,73,16,20246,0.2191780821917808,0.6666666666666666,query_1,['GO:0016763'],"['PARP3', 'PARP12', 'PARP4', 'ZC3HAV1', 'TNKS2', 'PARP11', 'PARP2', 'PARP6', 'PARP16', 'PARP1', 'PARP8', 'TIPARP', 'PARP14', 'PARP15', 'TNKS', 'PARP10']","[['IDA', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IMP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IMP', 'IBA', 'TAS', 'IEA']]",Fig3D_VertExpanded
GO:MF,GO:1990404,NAD+-protein mono-ADP-ribosyltransferase activity,2.9246760302809634e-30,True,"""Catalysis of the reaction: amino acyl-[protein] + NAD+ = H+ + (ADP-D-ribosyl)-amino acyl-[protein] + nicotinamide."" [PMID:1899243]",23,73,15,20246,0.2054794520547945,0.6521739130434783,query_1,"['GO:0016763', 'GO:0140096']","['PARP3', 'PARP12', 'PARP4', 'TNKS2', 'PARP11', 'PARP2', 'PARP6', 'PARP16', 'PARP1', 'PARP8', 'TIPARP', 'PARP14', 'PARP15', 'TNKS', 'PARP10']","[['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA'], ['IDA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA'], ['IDA', 'IBA'], ['IDA'], ['IDA', 'IMP', 'IBA', 'IEA']]",Fig3D_VertExpanded
GO:MF,GO:0016763,pentosyltransferase activity,1.097047103435657e-25,True,"""Catalysis of the transfer of a pentosyl group from one compound (donor) to another (acceptor)."" [GOC:jl]",52,73,16,20246,0.2191780821917808,0.3076923076923077,query_1,['GO:0016757'],"['PARP3', 'PARP12', 'PARP4', 'ZC3HAV1', 'TNKS2', 'PARP11', 'PARP2', 'PARP6', 'PARP16', 'PARP1', 'PARP8', 'TIPARP', 'PARP14', 'PARP15', 'TNKS', 'PARP10']","[['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0070213,protein auto-ADP-ribosylation,5.988568573045361e-25,True,"""The ADP-ribosylation by a protein of one or more of its own amino acid residues, or residues on an identical protein."" [GOC:BHF, GOC:rl]",11,72,11,21026,0.1527777777777778,1.0,query_1,['GO:0043687'],"['PARP3', 'PARP12', 'TNKS2', 'PARP11', 'PARP2', 'PARP6', 'PARP16', 'PARP1', 'PARP8', 'TNKS', 'PARP10']","[['IDA'], ['IDA'], ['IDA'], ['IDA'], ['IDA'], ['IDA'], ['IDA', 'IMP'], ['IDA'], ['IDA'], ['IDA'], ['IDA', 'IMP']]",Fig3D_VertExpanded
GO:MF,GO:0016779,nucleotidyltransferase activity,1.6014978687305882e-22,True,"""Catalysis of the transfer of a nucleotidyl group from one compound (donor) to another (acceptor)."" [EC:2.7.7.-]",156,73,19,20246,0.2602739726027397,0.12179487179487179,query_1,['GO:0016772'],"['PARP3', 'PARP12', 'OAS1', 'PARP4', 'TNKS2', 'PARP11', 'OAS3', 'OAS2', 'PARP2', 'OASL', 'PARP6', 'PARP16', 'PARP1', 'PARP8', 'TIPARP', 'PARP14', 'PARP15', 'TNKS', 'PARP10']","[['IEA'], ['IEA'], ['IDA', 'IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]",Fig3D_VertExpanded
GO:MF,GO:0003676,nucleic acid binding,4.518626867919464e-19,True,"""Binding to a nucleic acid."" [GOC:jl]",5433,73,58,20246,0.7945205479452054,0.01067550156451316,query_1,['GO:0005488'],"['YTHDC2', 'PARP12', 'CCAR1', 'RAD18', 'MBD3', 'BAZ2A', 'YTHDC1', 'SF3B2', 'OAS1', 'ACIN1', 'PARP4', 'ERI1', 'HNRNPUL1', 'ZC3HAV1', 'OAS3', 'OAS2', 'FASTKD2', 'BAZ2B', 'FASTKD3', 'DEK', 'MBD4', 'PARP2', 'RNASE1', 'SAFB2', 'MBD2', 'OASL', 'SETDB2', 'TBRG4', 'SLTM', 'FASTKD1', 'MBD1', 'SETDB1', 'PARP1', 'YTHDF1', 'HNRNPU', 'SAFB', 'TIPARP', 'FASTK', 'RNASE7', 'MECP2', 'RNASE2', 'RNASE3', 'RNASE6', 'RNASE8', 'RNASE11', 'PARP10', 'RNASE10', 'YTHDF3', 'RNASE9', 'XRCC6', 'YTHDF2', 'SARNP', 'RNASE13', 'ANG', 'HNRNPUL2', 'FASTKD5', 'RNASE12', 'RNASE4']","[['HDA', 'IBA', 'IEA'], ['HDA'], ['IDA', 'HDA'], ['IDA', 'NAS', 'IEA'], ['IDA', 'HDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'ISS', 'IEA'], ['IDA', 'HDA', 'IBA', 'IEA'], ['HDA'], ['IDA', 'IBA', 'IEA'], ['HDA', 'NAS', 'IEA'], ['TAS'], ['ISS', 'IEA'], ['HDA', 'IBA', 'TAS', 'IEA'], ['HDA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'HDA', 'IBA', 'IEA'], ['IEA'], ['HDA', 'IBA'], ['HDA', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['HDA', 'IBA', 'IEA'], ['IDA', 'HDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['IDA', 'HDA', 'IBA', 'IEA'], ['IEA'], ['HDA', 'IBA'], ['HDA', 'IBA', 'IEA'], ['HDA', 'IBA'], ['IDA', 'TAS', 'NAS', 'IEA'], ['IEA'], ['IDA', 'HDA', 'TAS', 'IEA'], ['HDA', 'IBA', 'IEA'], ['IDA', 'IPI', 'HDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['HDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['IDA'], ['IBA', 'IEA'], ['IEA'], ['EXP', 'IMP', 'HDA', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'HDA', 'IBA', 'IEA'], ['IEA'], ['IDA', 'HDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['HDA', 'IBA', 'IEA'], ['HDA', 'IEA'], ['IEA'], ['TAS', 'IC', 'IEA'], ['HDA', 'IBA'], ['IDA', 'HDA', 'IBA', 'IEA'], ['IEA'], ['IEA']]",Fig3D_VertExpanded
GO:MF,GO:0016757,glycosyltransferase activity,9.56418308376008e-14,True,"""Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."" [GOC:jl, ISBN:0198506732]",275,73,16,20246,0.2191780821917808,0.05818181818181818,query_1,['GO:0016740'],"['PARP3', 'PARP12', 'PARP4', 'ZC3HAV1', 'TNKS2', 'PARP11', 'PARP2', 'PARP6', 'PARP16', 'PARP1', 'PARP8', 'TIPARP', 'PARP14', 'PARP15', 'TNKS', 'PARP10']","[['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0006401,RNA catabolic process,3.5516184724440206e-13,True,"""The chemical reactions and pathways resulting in the breakdown of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."" [ISBN:0198506732]",315,72,17,21026,0.2361111111111111,0.05396825396825397,query_1,"['GO:0016070', 'GO:0141188']","['YTHDC1', 'ZC3HAV1', 'OAS2', 'FASTKD2', 'FASTKD3', 'TBRG4', 'FASTKD1', 'YTHDF1', 'HNRNPU', 'FASTK', 'RNASE2', 'RNASE3', 'RNASE6', 'YTHDF3', 'YTHDF2', 'ANG', 'FASTKD5']","[['IEA'], ['IDA', 'IBA'], ['IEA'], ['IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IBA'], ['IDA', 'IMP'], ['IBA', 'IEA'], ['TAS'], ['TAS'], ['TAS'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['TAS'], ['IBA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0141188,nucleic acid catabolic process,7.303003355012093e-13,True,"""The cellular DNA metabolic process resulting in the breakdown of a nucleic acid."" [GOC:curators]",343,72,17,21026,0.2361111111111111,0.04956268221574344,query_1,"['GO:0009057', 'GO:0034655', 'GO:0090304']","['YTHDC1', 'ZC3HAV1', 'OAS2', 'FASTKD2', 'FASTKD3', 'TBRG4', 'FASTKD1', 'YTHDF1', 'HNRNPU', 'FASTK', 'RNASE2', 'RNASE3', 'RNASE6', 'YTHDF3', 'YTHDF2', 'ANG', 'FASTKD5']","[['IEA'], ['IDA', 'IBA'], ['IEA'], ['IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IBA'], ['IDA', 'IMP'], ['IBA', 'IEA'], ['TAS'], ['TAS'], ['TAS'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['TAS'], ['IBA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0070212,protein poly-ADP-ribosylation,7.303003355012093e-13,True,"""The transfer of multiple ADP-ribose residues from NAD to a protein amino acid, forming a poly(ADP-ribose) chain."" [GOC:BHF, GOC:mah, GOC:rl, PMID:25043379]",6,72,6,21026,0.08333333333333333,1.0,query_1,['GO:0043687'],"['TNKS2', 'PARP2', 'PARP1', 'PARP15', 'TNKS', 'PARP10']","[['IDA'], ['IDA'], ['IDA'], ['IMP'], ['IDA', 'IMP'], ['IDA', 'IMP']]",Fig3D_VertExpanded
